Date,PM2.5
2023/10/1,84
2023/10/2,94
2023/10/3,50
2023/10/4,47
2023/10/5,63
2023/10/6,22
2023/10/7,35
2023/10/8,26
2023/10/9,36
2023/10/10,18
2023/10/11,15
2023/10/25,44
2023/10/26,45
2023/10/27,42
2023/10/28,26
2023/10/29,31
2023/10/30,48
2023/10/31,29
2023/11/1,31
2023/11/2,39
2023/11/3,46
2023/11/4,51
2023/11/5,53
2023/11/6,47
2023/11/7,54
2023/11/8,64
2023/11/9,76
2023/11/10,49
2023/11/11,60
2023/11/12,39
2023/11/13,40
2023/11/14,52
2023/11/15,55
2023/11/16,82
2023/11/17,76
2023/11/21,21
2023/11/22,81
2023/11/23,118
2023/11/25,64
2023/11/26,33
2023/11/27,1
2023/11/28,15
2023/11/29,26
2023/11/30,22
2023/12/1,55
2023/12/2,59
2023/12/3,76
2023/12/4,109
2023/12/5,105
2023/12/6,107
2023/12/8,44
2023/12/9,2
2023/12/10,2
2023/12/11,9
2023/12/12,49
2023/12/13,5
2023/12/14,60
2023/12/15,98
2023/12/16,112
2023/12/17,56
2023/12/18,33
2023/12/19,50
2023/12/20,70
2023/12/21,83
2023/12/22,68
2023/12/23,14
2023/12/24,16
2023/12/25,22
2023/12/26,55
2023/12/27,70
2023/12/28,77
2023/12/29,85
2023/12/30,92
2023/12/31,112
2023/7/1,19
2023/7/2,20
2023/7/3,25
2023/7/4,30
2023/7/5,28
2023/7/6,18
2023/7/7,5
2023/7/8,7
2023/7/9,2
2023/7/10,3
2023/7/11,8
2023/7/12,14
2023/7/13,18
2023/7/14,18
2023/7/15,18
2023/7/16,16
2023/7/17,15
2023/7/18,14
2023/7/19,17
2023/7/20,18
2023/7/21,21
2023/7/22,22
2023/7/23,23
2023/7/24,26
2023/7/25,16
2023/7/26,17
2023/7/27,25
2023/7/28,24
2023/7/29,15
2023/7/30,16
2023/7/31,14
2023/8/1,30
2023/8/2,68
2023/8/3,76
2023/8/4,60
2023/8/5,57
2023/8/6,67
2023/8/7,81
2023/8/8,67
2023/8/9,59
2023/8/10,57
2023/8/11,40
2023/8/12,22
2023/8/13,21
2023/8/14,20
2023/8/15,30
2023/8/16,33
2023/8/17,28
2023/8/18,31
2023/8/19,23
2023/8/20,23
2023/8/21,22
2023/8/22,22
2023/8/23,17
2023/8/24,16
2023/8/25,19
2023/8/26,17
2023/8/27,16
2023/8/28,17
2023/8/29,15
2023/8/30,14
2023/8/31,17
2023/9/1,28
2023/9/2,21
2023/9/3,17
2023/9/4,16
2023/9/5,14
2023/9/6,16
2023/9/7,19
2023/9/8,16
2023/9/9,14
2023/9/10,14
2023/9/11,13
2023/9/12,13
2023/9/13,13
2023/9/14,14
2023/9/15,16
2023/9/16,60
2023/9/18,68
2023/9/19,48
2023/9/20,37
2023/9/21,49
2023/9/22,54
