Date,PM2.5
2016/10/1,65
2016/10/2,98
2016/10/3,90
2016/10/4,102
2016/10/5,120
2016/10/6,111
2016/10/7,82
2016/10/8,10
2016/10/9,10
2016/10/10,12
2016/10/11,12
2016/10/12,34
2016/10/13,68
2016/10/14,61
2016/10/15,65
2016/10/16,106
2016/10/17,93
2016/10/18,32
2016/10/19,67
2016/10/20,103
2016/10/21,87
2016/10/22,114
2016/10/23,135
2016/10/24,102
2016/10/25,58
2016/10/26,83
2016/10/27,102
2016/10/28,59
2016/10/29,85
2016/10/30,63
2016/10/31,77
2016/11/1,53
2016/11/2,70
2016/11/3,111
2016/11/4,140
2016/11/5,115
2016/11/6,131
2016/11/7,99
2016/11/8,97
2016/11/9,125
2016/11/10,48
2016/11/11,64
2016/11/12,109
2016/11/13,92
2016/11/14,68
2016/11/15,73
2016/11/16,33
2016/11/17,68
2016/11/18,136
2016/11/19,142
2016/11/20,136
2016/11/21,149
2016/11/22,135
2016/11/23,151
2016/11/24,143
2016/11/25,165
2016/11/26,185
2016/11/27,162
2016/11/28,146
2016/11/29,75
2016/11/30,64
2016/12/1,40
2016/12/2,60
2016/12/3,60
2016/12/4,141
2016/12/5,126
2016/12/6,136
2016/12/7,142
2016/12/8,73
2016/12/9,121
2016/12/10,142
2016/12/11,144
2016/12/12,167
2016/12/13,58
2016/12/14,44
2016/12/15,88
2016/12/16,95
2016/12/17,105
2016/12/18,109
2016/12/19,121
2016/12/20,75
2016/12/21,97
2016/12/22,48
2016/12/23,74
2016/12/24,119
2016/12/25,77
2016/12/26,93
2016/12/27,62
2016/12/28,78
2016/12/29,62
2016/12/30,85
2016/12/31,104
2016/7/1,47
2016/7/2,55
2016/7/3,49
2016/7/4,54
2016/7/5,38
2016/7/6,60
2016/7/7,55
2016/7/8,50
2016/7/9,28
2016/7/10,45
2016/7/11,35
2016/7/12,53
2016/7/13,45
2016/7/14,66
2016/7/15,65
2016/7/16,75
2016/7/17,52
2016/7/18,73
2016/7/19,63
2016/7/20,49
2016/7/21,56
2016/7/22,55
2016/7/23,57
2016/7/24,48
2016/7/25,46
2016/7/26,51
2016/7/27,65
2016/7/28,60
2016/7/29,62
2016/7/30,66
2016/7/31,79
2016/8/1,55
2016/8/2,56
2016/8/3,68
2016/8/4,59
2016/8/5,62
2016/8/6,61
2016/8/7,65
2016/8/8,59
2016/8/9,68
2016/8/10,57
2016/8/11,71
2016/8/12,59
2016/8/13,64
2016/8/14,43
2016/8/15,42
2016/8/16,38
2016/8/17,39
2016/8/18,58
2016/8/19,58
2016/8/20,60
2016/8/21,69
2016/8/22,62
2016/8/23,74
2016/8/24,91
2016/8/25,83
2016/8/26,66
2016/8/27,71
2016/8/28,68
2016/8/29,57
2016/8/30,69
2016/8/31,88
2016/9/1,50
2016/9/2,48
2016/9/3,46
2016/9/4,39
2016/9/5,64
2016/9/6,67
2016/9/7,60
2016/9/8,49
2016/9/9,67
2016/9/10,54
2016/9/11,83
2016/9/12,59
2016/9/13,55
2016/9/14,55
2016/9/15,61
2016/9/16,38
2016/9/17,54
2016/9/18,66
2016/9/19,76
2016/9/20,46
2016/9/21,51
2016/9/22,62
2016/9/28,29
2016/9/29,50
2016/9/30,61
2016/4/1,51
2016/4/2,60
2016/4/3,33
2016/4/4,32
2016/4/5,56
2016/4/6,59
2016/4/7,63
2016/4/8,59
2016/4/9,50
2016/4/10,43
2016/4/11,35
2016/4/12,38
2016/4/13,32
2016/4/14,41
2016/4/15,49
2016/4/16,44
2016/4/17,59
2016/4/18,49
2016/4/19,53
2016/4/20,53
2016/4/21,34
2016/4/22,26
2016/4/23,47
2016/4/24,44
2016/4/25,38
2016/4/26,46
2016/4/27,37
2016/4/28,66
2016/4/29,62
2016/4/30,39
2016/5/1,36
2016/5/2,43
